,year,region,latitude,longitude,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured,licenses
0,2016,Al-Baha,20.1484058503, 41.4665484892,3618.0,185.0,1227.0,4614
1,2016,Al-Jouf,29.9677445762, 39.5570371172,10212.0,245.0,920.0,9371
2,2016,Al-Qaseem,26.1967063704, 43.3429998455,25664.0,397.0,1513.0,9180
3,2016,Assir,19.1387847401, 42.941470036,32684.0,983.0,2541.0,41367
4,2016,Eastern,23.2883307307, 50.1478302439,101619.0,1113.0,4893.0,142307
5,2016,Hail,27.400845724, 41.4406960508,10199.0,299.0,932.0,54507
6,2016,Jazan,17.2072313962, 42.6525807422,25873.0,514.0,2259.0,11504
7,2016,Madinah,24.927534539, 39.4918237173,14475.0,822.0,4184.0,24540
8,2016,Makkah,21.628962766, 41.2636898334,134838.0,2243.0,12383.0,136055
9,2016,Najran,18.4511003068, 46.8688495726,3235.0,173.0,706.0,2153
10,2016,Northern Boarder,30.197074783, 41.8171186952,13196.0,193.0,631.0,4958
11,2016,Riyadh,23.0814341634, 45.5857512766,141736.0,1430.0,4207.0,242851
12,2016,Tabouk,27.90165499, 37.2598581394,16031.0,434.0,1724.0,13610
13,2017,Al-Baha,20.1484058503, 41.4665484892,1414.0,134.0,1007.0,4131
14,2017,Al-Jouf,29.9677445762, 39.5570371172,10469.0,240.0,862.0,8091
15,2017,Al-Qaseem,26.1967063704, 43.3429998455,22405.0,319.0,1446.0,6318
16,2017,Assir,19.1387847401, 42.941470036,25245.0,828.0,2368.0,39133
17,2017,Eastern,23.2883307307, 50.1478302439,81433.0,963.0,4073.0,126816
18,2017,Hail,27.400845724, 41.4406960508,9379.0,265.0,773.0,22035
19,2017,Jazan,17.2072313962, 42.6525807422,22161.0,466.0,2207.0,18345
20,2017,Madinah,24.927534539, 39.4918237173,16070.0,580.0,2917.0,36165
21,2017,Makkah,21.628962766, 41.2636898334,145541.0,1641.0,10623.0,142487
22,2017,Najran,18.4511003068, 46.8688495726,3193.0,194.0,766.0,13825
23,2017,Northern Boarder,30.197074783, 41.8171186952,11540.0,112.0,374.0,5280
24,2017,Riyadh,23.0814341634, 45.5857512766,99925.0,1399.0,4540.0,495307
25,2017,Tabouk,27.90165499, 37.2598581394,11713.0,348.0,1243.0,10232
26,1993,Al-Baha,20.1484058503, 41.4665484892,,,,3270
27,1993,Al-Jouf,29.9677445762, 39.5570371172,,,,2884
28,1993,Al-Qaseem,26.1967063704, 43.3429998455,,,,73618
29,1993,Assir,19.1387847401, 42.941470036,,,,6226
30,1993,Eastern,23.2883307307, 50.1478302439,,,,9964
31,1993,Hail,27.400845724, 41.4406960508,,,,10484
32,1993,Jazan,17.2072313962, 42.6525807422,,,,6009
33,1993,Madinah,24.927534539, 39.4918237173,,,,4122
34,1993,Makkah,21.628962766, 41.2636898334,,,,65977
35,1993,Najran,18.4511003068, 46.8688495726,,,,3769
36,1993,Northern Boarder,30.197074783, 41.8171186952,,,,1510
37,1993,Riyadh,23.0814341634, 45.5857512766,,,,103886
38,1993,Tabouk,27.90165499, 37.2598581394,,,,3174
39,1994,Al-Baha,20.1484058503, 41.4665484892,,,,2729
40,1994,Al-Jouf,29.9677445762, 39.5570371172,,,,2535
41,1994,Al-Qaseem,26.1967063704, 43.3429998455,,,,68916
42,1994,Assir,19.1387847401, 42.941470036,,,,5185
43,1994,Eastern,23.2883307307, 50.1478302439,,,,10918
44,1994,Hail,27.400845724, 41.4406960508,,,,11131
45,1994,Jazan,17.2072313962, 42.6525807422,,,,3826
46,1994,Madinah,24.927534539, 39.4918237173,,,,3767
47,1994,Makkah,21.628962766, 41.2636898334,,,,75349
48,1994,Najran,18.4511003068, 46.8688495726,,,,3880
49,1994,Northern Boarder,30.197074783, 41.8171186952,,,,1457
50,1994,Riyadh,23.0814341634, 45.5857512766,,,,110545
51,1994,Tabouk,27.90165499, 37.2598581394,,,,3282
52,1995,Al-Baha,20.1484058503, 41.4665484892,,,,2423
53,1995,Al-Jouf,29.9677445762, 39.5570371172,,,,2270
54,1995,Al-Qaseem,26.1967063704, 43.3429998455,,,,49690
55,1995,Assir,19.1387847401, 42.941470036,,,,4889
56,1995,Eastern,23.2883307307, 50.1478302439,,,,7831
57,1995,Hail,27.400845724, 41.4406960508,,,,9735
58,1995,Jazan,17.2072313962, 42.6525807422,,,,2284
59,1995,Madinah,24.927534539, 39.4918237173,,,,4155
60,1995,Makkah,21.628962766, 41.2636898334,,,,60356
61,1995,Najran,18.4511003068, 46.8688495726,,,,3268
62,1995,Northern Boarder,30.197074783, 41.8171186952,,,,1318
63,1995,Riyadh,23.0814341634, 45.5857512766,,,,101608
64,1995,Tabouk,27.90165499, 37.2598581394,,,,2051
65,1996,Al-Baha,20.1484058503, 41.4665484892,,,,1468
66,1996,Al-Jouf,29.9677445762, 39.5570371172,,,,2518
67,1996,Al-Qaseem,26.1967063704, 43.3429998455,,,,42693
68,1996,Assir,19.1387847401, 42.941470036,,,,3319
69,1996,Eastern,23.2883307307, 50.1478302439,,,,8461
70,1996,Hail,27.400845724, 41.4406960508,,,,10267
71,1996,Jazan,17.2072313962, 42.6525807422,,,,2226
72,1996,Madinah,24.927534539, 39.4918237173,,,,3425
73,1996,Makkah,21.628962766, 41.2636898334,,,,46195
74,1996,Najran,18.4511003068, 46.8688495726,,,,3274
75,1996,Northern Boarder,30.197074783, 41.8171186952,,,,1383
76,1996,Riyadh,23.0814341634, 45.5857512766,,,,110131
77,1996,Tabouk,27.90165499, 37.2598581394,,,,2263
78,1997,Al-Baha,20.1484058503, 41.4665484892,,,,3027
79,1997,Al-Jouf,29.9677445762, 39.5570371172,,,,3565
80,1997,Al-Qaseem,26.1967063704, 43.3429998455,,,,10092
81,1997,Assir,19.1387847401, 42.941470036,,,,12204
82,1997,Eastern,23.2883307307, 50.1478302439,,,,58814
83,1997,Hail,27.400845724, 41.4406960508,,,,6606
84,1997,Jazan,17.2072313962, 42.6525807422,,,,5695
85,1997,Madinah,24.927534539, 39.4918237173,,,,10495
86,1997,Makkah,21.628962766, 41.2636898334,,,,76623
87,1997,Najran,18.4511003068, 46.8688495726,,,,3073
88,1997,Northern Boarder,30.197074783, 41.8171186952,,,,1531
89,1997,Riyadh,23.0814341634, 45.5857512766,,,,92145
90,1997,Tabouk,27.90165499, 37.2598581394,,,,5426
91,1998,Al-Baha,20.1484058503, 41.4665484892,,,,5110
92,1998,Al-Jouf,29.9677445762, 39.5570371172,,,,3476
93,1998,Al-Qaseem,26.1967063704, 43.3429998455,,,,11350
94,1998,Assir,19.1387847401, 42.941470036,,,,13220
95,1998,Eastern,23.2883307307, 50.1478302439,,,,70650
96,1998,Hail,27.400845724, 41.4406960508,,,,4708
97,1998,Jazan,17.2072313962, 42.6525807422,,,,2613
98,1998,Madinah,24.927534539, 39.4918237173,,,,13020
99,1998,Makkah,21.628962766, 41.2636898334,,,,86082
100,1998,Najran,18.4511003068, 46.8688495726,,,,4322
101,1998,Northern Boarder,30.197074783, 41.8171186952,,,,2014
102,1998,Riyadh,23.0814341634, 45.5857512766,,,,114962
103,1998,Tabouk,27.90165499, 37.2598581394,,,,6823
104,1999,Al-Baha,20.1484058503, 41.4665484892,,,,4246
105,1999,Al-Jouf,29.9677445762, 39.5570371172,,,,3950
106,1999,Al-Qaseem,26.1967063704, 43.3429998455,,,,9983
107,1999,Assir,19.1387847401, 42.941470036,,,,14625
108,1999,Eastern,23.2883307307, 50.1478302439,,,,64973
109,1999,Hail,27.400845724, 41.4406960508,,,,3139
110,1999,Jazan,17.2072313962, 42.6525807422,,,,4792
111,1999,Madinah,24.927534539, 39.4918237173,,,,11108
112,1999,Makkah,21.628962766, 41.2636898334,,,,103535
113,1999,Najran,18.4511003068, 46.8688495726,,,,3959
114,1999,Northern Boarder,30.197074783, 41.8171186952,,,,2311
115,1999,Riyadh,23.0814341634, 45.5857512766,,,,100291
116,1999,Tabouk,27.90165499, 37.2598581394,,,,5298
117,2000,Al-Baha,20.1484058503, 41.4665484892,,,,4832
118,2000,Al-Jouf,29.9677445762, 39.5570371172,,,,4666
119,2000,Al-Qaseem,26.1967063704, 43.3429998455,,,,12226
120,2000,Assir,19.1387847401, 42.941470036,,,,18622
121,2000,Eastern,23.2883307307, 50.1478302439,,,,65767
122,2000,Hail,27.400845724, 41.4406960508,,,,3215
123,2000,Jazan,17.2072313962, 42.6525807422,,,,5678
124,2000,Madinah,24.927534539, 39.4918237173,,,,9562
125,2000,Makkah,21.628962766, 41.2636898334,,,,87053
126,2000,Najran,18.4511003068, 46.8688495726,,,,4905
127,2000,Northern Boarder,30.197074783, 41.8171186952,,,,2894
128,2000,Riyadh,23.0814341634, 45.5857512766,,,,45345
129,2000,Tabouk,27.90165499, 37.2598581394,,,,8473
130,2001,Al-Baha,20.1484058503, 41.4665484892,,,,7594
131,2001,Al-Jouf,29.9677445762, 39.5570371172,,,,4756
132,2001,Al-Qaseem,26.1967063704, 43.3429998455,,,,14718
133,2001,Assir,19.1387847401, 42.941470036,,,,20321
134,2001,Eastern,23.2883307307, 50.1478302439,,,,74119
135,2001,Hail,27.400845724, 41.4406960508,,,,6077
136,2001,Jazan,17.2072313962, 42.6525807422,,,,10631
137,2001,Madinah,24.927534539, 39.4918237173,,,,13561
138,2001,Makkah,21.628962766, 41.2636898334,,,,85593
139,2001,Najran,18.4511003068, 46.8688495726,,,,4950
140,2001,Northern Boarder,30.197074783, 41.8171186952,,,,2971
141,2001,Riyadh,23.0814341634, 45.5857512766,,,,13090
142,2001,Tabouk,27.90165499, 37.2598581394,,,,6344
143,2002,Al-Baha,20.1484058503, 41.4665484892,,,,3335
144,2002,Al-Jouf,29.9677445762, 39.5570371172,,,,5940
145,2002,Al-Qaseem,26.1967063704, 43.3429998455,,,,16298
146,2002,Assir,19.1387847401, 42.941470036,,,,20417
